,length,oneway,off,bdir,trad,unit,area,sbt,sds,sice,sin,snl,stot
wc,2556410.5,414.89609736192,22.444796313600023,437.34089367552,392.45133692928,627.4141077504,56433676288.0,-0.0188686458,-5.04603527424,0.0,7.0557412992,-1.6264177612800002,0.36441943392000004
wc.wa,258005.609375,68.935845888,0.2649853747199984,69.20083126272,68.6708649984,83.90868344832,5802063360.0,-0.0071776697025,-0.61776893568,0.0,0.62652900576,-0.19112946432,-0.18954558624
wc.or,476253.3125,128.66570489856,0.8809941811200019,129.54669907968,127.78473762816,159.70064523264,9388424192.0,-0.005013721395,-1.5819895641600001,0.0,2.15868559296,-0.48293631216,0.08874380196000001
wc.ca,1822151.625,218.28275306496002,21.324700385279982,239.60745345024,196.95801679872,385.03470661632,40539533312.0,-0.007107551925,-2.8142011584,0.0,4.21954315008,-0.94399105536,0.4542441936
ec,3198674.25,93.12965062656001,7.419877539840002,100.54952816640001,85.7097910272,142.14234230784,82097455104.0,-0.755693664,-13.99678910976,0.0,23.03128406016,-3.66329352192,4.6155111283200005
ec.ne,805216.75,31.333705390080002,4.257843271679999,35.59154866176,27.07586436096,52.306003169280004,28193970176.0,-0.0755172444,-7.6657691980800005,0.0,12.42746356224,-1.92460115328,2.76157892736
ec.ma,665975.375,22.48827506688,1.2250903449600017,23.71336541184,21.26318247936,32.363352145920004,19002265600.0,-0.19355812176,-2.716069536,0.0,4.44906720384,-0.68775222528,0.85168658496
ec.se,1727482.0,39.3538556928,1.9291622399999966,41.2830179328,37.4246934528,57.54482515968,33975199744.0,-0.5072388648,-3.4655106624000003,0.0,5.90470364928,-1.01407876416,0.9178746921600001
hi,1749916.125,117.97534961664,37.88739637248001,155.86274598912001,80.08795324416,261.07921195008004,31162910720.0,-2.7204686865234376e-05,-1.84613481984,0.0,3.0574395878400003,-0.6509317728,0.56034587424
ak,11205635.0,1135.2602984448001,230.23197388799986,1365.4922723328,905.02861160448,2130.87376637952,323765665792.0,-0.92652361536,-125.89252829184001,0.0,213.27095439360002,-32.36470665216,54.088896675840004
gm,2723843.5,24.46945572864,2.5340210380800023,27.003476766720002,21.935436933120002,38.0617823232,64780673024.0,-0.17584163496000002,-5.0355451392,0.0,9.2287987584,-1.53208601664,2.48532721152
prusvi,636362.125,17.64008236032,2.2209394790399983,19.86102183936,15.41914176,31.64697532416,13952835584.0,-0.0063061274475000005,-0.62383772352,0.0,1.153352112,-0.3068342424,0.21637522368
total,22070840.0,1803.3709341388803,302.73900463103985,2106.10993876992,1500.63227149824,3231.2181860352002,572193243136.0,-1.8832608922543654,-152.44087035840002,0.0,256.7975702112,-40.14426996720001,62.33087554752
